Actor,Movie,Screen Time
Harry Potter,"The Sorcerer's Stone",72:45
Ron Weasley,"The Sorcerer's Stone",28:15
Hermione Granger,"The Sorcerer's Stone",23:15
Rubeus Hagrid,"The Sorcerer's Stone",16:30
Professor Albus Dumbledore,"The Sorcerer's Stone",9:45
Professor Minerva McGonagall,"The Sorcerer's Stone",7:30
Professor Quirinus Quirrell,"The Sorcerer's Stone",7
Draco Malfoy,"The Sorcerer's Stone",4:15
Professor Severus Snape,"The Sorcerer's Stone",4
Vernon Dursley,"The Sorcerer's Stone",4
Neville Longbottom,"The Sorcerer's Stone",3:15
Petunia Dursley,"The Sorcerer's Stone",3
Mr. Ollivander,"The Sorcerer's Stone",3
Dudley Dursley,"The Sorcerer's Stone",2:45
Oliver Wood,"The Sorcerer's Stone",2:45
Voldemort,"The Sorcerer's Stone",2
The Sorting Hat,"The Sorcerer's Stone",2
Hedwig,"The Sorcerer's Stone",1:45
Madame Hooch,"The Sorcerer's Stone",1:45
Percy Weasley,"The Sorcerer's Stone",1:45
Seamus Finnigan,"The Sorcerer's Stone",1:45
Fred Weasley,"The Sorcerer's Stone",1:30
George Weasley,"The Sorcerer's Stone",1:30
Firenze,"The Sorcerer's Stone",1:30
Dean Thomas,"The Sorcerer's Stone",1:15
Argus Filch,"The Sorcerer's Stone",1:15
Lily Potter,"The Sorcerer's Stone",1:15
James Potter,"The Sorcerer's Stone",1
Professor Filius Flitwick,"The Sorcerer's Stone",1
Fang,"The Sorcerer's Stone",1
"Sir Nicholas ""Nearly-Headless Nick""","The Sorcerer's Stone",:45
Griphook,"The Sorcerer's Stone",:45
Lee Jordan,"The Sorcerer's Stone",:45
Marcus Flint,"The Sorcerer's Stone",:45
Alicia Spinnet,"The Sorcerer's Stone",:45
Vincent Crabbe,"The Sorcerer's Stone",:45
Gregory Goyle,"The Sorcerer's Stone",:45
Angelina Johnson,"The Sorcerer's Stone",:30
Katie Bell,"The Sorcerer's Stone",:30
Molly Weasley,"The Sorcerer's Stone",:30
Ginny Weasley,"The Sorcerer's Stone",:15
Fat Lady,"The Sorcerer's Stone",:15
"""Scabbers"" / Peter Pettigrew","The Sorcerer's Stone",:15
Harry Potter,The Chamber of Secrets,83:45
Ron Weasley,The Chamber of Secrets,38:15
Hermione Granger,The Chamber of Secrets,15:30
Professor Albus Dumbledore,The Chamber of Secrets,10:45
Professor Gilderoy Lockhart,The Chamber of Secrets,10:30
Rubeus Hagrid,The Chamber of Secrets,8:15
Dobby,The Chamber of Secrets,7:30
Draco Malfoy,The Chamber of Secrets,7
Tom Riddle / Voldemort,The Chamber of Secrets,6:45
Lucius Malfoy,The Chamber of Secrets,6:45
Professor Minerva McGonagall,The Chamber of Secrets,5:45
Ginny Weasley,The Chamber of Secrets,4:45
Professor Severus Snape,The Chamber of Secrets,4:30
Arthur Weasley,The Chamber of Secrets,2:30
Cornelius Fudge,The Chamber of Secrets,2:30
Vernon Dursley,The Chamber of Secrets,2:30
Fred Weasley,The Chamber of Secrets,2:30
George Weasley,The Chamber of Secrets,2:30
Fawkes,The Chamber of Secrets,2:30
Molly Weasley,The Chamber of Secrets,2:15
Oliver Wood,The Chamber of Secrets,1:45
Argus Filch,The Chamber of Secrets,1:45
Hedwig,The Chamber of Secrets,1:45
Moaning Myrtle,The Chamber of Secrets,1:30
Petunia Dursley,The Chamber of Secrets,1:30
Professor Pomona Sprout,The Chamber of Secrets,1:30
Percy Weasley,The Chamber of Secrets,1:30
Fang,The Chamber of Secrets,1:30
Colin Creevy,The Chamber of Secrets,1:15
Dudley Dursley,The Chamber of Secrets,1:15
Neville Longbottom,The Chamber of Secrets,1:15
Madame Poppy Pomfrey,The Chamber of Secrets,1:15
Vincent Crabbe,The Chamber of Secrets,1:15
Gregory Goyle,The Chamber of Secrets,1:15
Dean Thomas,The Chamber of Secrets,1
Seamus Finnigan,The Chamber of Secrets,1
Aragog,The Chamber of Secrets,1
Marcus Flint,The Chamber of Secrets,1
The Sorting Hat,The Chamber of Secrets,:45
Justin Finch-Fletchley,The Chamber of Secrets,:45
"Sir Nicholas ""Nearly-Headless Nick""",The Chamber of Secrets,:45
Angelina Johnson,The Chamber of Secrets,:30
Alicia Spinnet,The Chamber of Secrets,:30
Katie Bell,The Chamber of Secrets,:30
"""Scabbers"" / Peter Pettigrew",The Chamber of Secrets,:30
Professor Filius Flitwick,The Chamber of Secrets,:15
Lee Jordan,The Chamber of Secrets,:15
Harry Potter,The Prisoner of Azkaban,74:30
Hermione Granger,The Prisoner of Azkaban,34:45
Ron Weasley,The Prisoner of Azkaban,21:15
Professor Remus Lupin,The Prisoner of Azkaban,19:15
